Department_code;Department;Constituency_code;Constituency;Commune_code;Commune;Polling_station;Registered;Abstentions;Voters;Sex;City
3;Allier;2;Second;314;Villebret;1;1037;179;858;M;Villebret
3;Allier;2;Second;315;Villefranche-d'Allier;1;938;182;756;M;Villefranche-d'Allier
3;Allier;1;First;316;Villeneuve-sur-Allier;1;727;146;581;F;Villeneuve-sur-Allier
3;Allier;2;Second;317;Viplaix;1;280;69;211;M;Viplaix
3;Allier;1;First;321;Yzeure;2;666;127;539;M;Yzeure
3;Allier;1;First;321;Yzeure;2;666;127;539;M;Yzeure
3;Allier;1;First;321;Yzeure;2;666;127;539;M;Yzeure
3;Allier;1;First;321;Yzeure;11;822;148;674;M;Yzeure
3;Allier;1;First;321;Yzeure;12;939;157;782;M;Yzeure
4;Alpes-de-Haute-Provence;1;First;1;Aiglun;1;896;116;780;F;Aiglun
4;Alpes-de-Haute-Provence;1;First;5;Allons;1;106;10;96;M;Allons
4;Alpes-de-Haute-Provence;1;First;7;Angles;1;66;14;52;M;Angles
4;Alpes-de-Haute-Provence;1;First;7;Angles;1;66;14;52;M;Angles
4;Alpes-de-Haute-Provence;1;First;8;Annot;1;877;156;721;M;Annot
4;Alpes-de-Haute-Provence;2;Second;18;Banon;1;760;120;640;M;Banon
4;Alpes-de-Haute-Provence;2;Second;19;Barcelonnette;1;1853;447;1406;M;Barcelonnette
4;Alpes-de-Haute-Provence;2;Second;20;Barles;1;118;16;102;M;Barles
4;Alpes-de-Haute-Provence;2;Second;20;Barles;1;118;16;102;M;Barles
4;Alpes-de-Haute-Provence;1;First;22;Barrême;1;372;84;288;M;Barrême
4;Alpes-de-Haute-Provence;1;First;22;Barrême;1;372;84;288;F;Barrême
4;Alpes-de-Haute-Provence;1;First;25;Beauvezer;1;345;70;275;M;Beauvezer
4;Alpes-de-Haute-Provence;1;First;25;Beauvezer;1;345;70;275;M;Beauvezer
4;Alpes-de-Haute-Provence;1;First;25;Beauvezer;1;345;70;275;M;Beauvezer
4;Alpes-de-Haute-Provence;2;Second;26;Bellaffaire;1;146;20;126;M;Bellaffaire
4;Alpes-de-Haute-Provence;1;First;30;Blieux;1;65;8;57;M;Blieux
4;Alpes-de-Haute-Provence;1;First;31;Bras-d'Asse;1;439;72;367;M;Bras-d'Asse
4;Alpes-de-Haute-Provence;1;First;32;Braux;1;169;31;138;M;Braux
4;Alpes-de-Haute-Provence;2;Second;33;Ubaye-Serre-Ponçon;1;283;44;239;M;La Bréole
4;Alpes-de-Haute-Provence;1;First;34;La Brillanne;1;718;111;607;F;La Brillanne
4;Alpes-de-Haute-Provence;2;Second;37;Le Caire;1;81;18;63;M;Le Caire
4;Alpes-de-Haute-Provence;1;First;39;Castellane;1;1099;180;919;M;Castellane
4;Alpes-de-Haute-Provence;1;First;42;Castellet-lès-Sausses;1;135;15;120;M;Castellet-lès-Sausses
4;Alpes-de-Haute-Provence;1;First;47;Champtercier;1;584;90;494;M;Champtercier
4;Alpes-de-Haute-Provence;1;First;49;Château-Arnoux-Saint-Auban;3;932;199;733;M;Château-Arnoux-Saint-Auban
4;Alpes-de-Haute-Provence;1;First;53;Châteauneuf-Val-Saint-Donat;1;416;61;355;M;Châteauneuf-Val-Saint-Donat
4;Alpes-de-Haute-Provence;2;Second;57;Clamensane;1;168;26;142;M;Clamensane
4;Alpes-de-Haute-Provence;2;Second;58;Claret;1;187;26;161;M;Claret
4;Alpes-de-Haute-Provence;1;First;59;Clumanc;1;202;35;167;M;Clumanc
4;Alpes-de-Haute-Provence;2;Second;65;Cruis;1;563;106;457;M;Cruis
4;Alpes-de-Haute-Provence;2;Second;67;Curel;1;47;2;45;M;Curel
4;Alpes-de-Haute-Provence;2;Second;68;Dauphin;1;644;99;545;M;Dauphin
4;Alpes-de-Haute-Provence;1;First;70;Digne-les-Bains;1;899;212;687;M;Digne-les-Bains
4;Alpes-de-Haute-Provence;1;First;70;Digne-les-Bains;5;1072;215;857;M;Digne-les-Bains
4;Alpes-de-Haute-Provence;1;First;70;Digne-les-Bains;6;808;141;667;M;Digne-les-Bains
4;Alpes-de-Haute-Provence;1;First;70;Digne-les-Bains;6;808;141;667;M;Digne-les-Bains
4;Alpes-de-Haute-Provence;1;First;70;Digne-les-Bains;10;964;195;769;M;Digne-les-Bains
4;Alpes-de-Haute-Provence;1;First;70;Digne-les-Bains;10;964;195;769;M;Digne-les-Bains
4;Alpes-de-Haute-Provence;1;First;70;Digne-les-Bains;11;1053;213;840;M;Digne-les-Bains
8;Ardennes;1;First;105;Charleville-Mézières;5;805;209;596;M;Charleville-Mézières
8;Ardennes;1;First;105;Charleville-Mézières;5;805;209;596;M;Charleville-Mézières
8;Ardennes;1;First;105;Charleville-Mézières;7;1122;276;846;M;Charleville-Mézières
8;Ardennes;1;First;105;Charleville-Mézières;7;1122;276;846;M;Charleville-Mézières
8;Ardennes;1;First;105;Charleville-Mézières;15;598;192;406;M;Charleville-Mézières
8;Ardennes;1;First;105;Charleville-Mézières;15;598;192;406;M;Charleville-Mézières
8;Ardennes;1;First;105;Charleville-Mézières;18;653;258;395;M;Charleville-Mézières
8;Ardennes;1;First;105;Charleville-Mézières;20;1551;671;880;F;Charleville-Mézières
8;Ardennes;1;First;105;Charleville-Mézières;24;648;203;445;M;Charleville-Mézières
8;Ardennes;1;First;105;Charleville-Mézières;29;1225;349;876;M;Charleville-Mézières
8;Ardennes;2;Second;105;Charleville-Mézières;1;898;275;623;M;Charleville-Mézières
8;Ardennes;2;Second;105;Charleville-Mézières;10;1063;331;732;M;Charleville-Mézières
8;Ardennes;2;Second;105;Charleville-Mézières;14;796;172;624;M;Charleville-Mézières
8;Ardennes;2;Second;105;Charleville-Mézières;25;689;269;420;F;Charleville-Mézières
